prompt_chars,concurrency,max_tokens,stream,requests,errors,median_ttft_ms,p90_ttft_ms,median_total_ms,p90_total_ms,median_output_chars,median_chunks
128,1,64,True,3,0,10.638118023052812,322.11965799797326,247.8669909760356,561.2573160324246,160,33
128,2,64,True,6,0,18.543788988608867,19.178169895894825,526.6930509824306,533.3483599824831,161.5,32.5
128,4,64,True,12,0,51.156824454665184,55.68235507234931,1646.3517085066997,1658.272104919888,189.5,28.0
512,1,64,True,3,0,9.894508053548634,15.272831078618765,244.17894694488496,249.8413500143215,160,33
512,2,64,True,6,0,20.22016845876351,20.75932000298053,532.8126544482075,544.6300780167803,173.5,36.0
512,4,64,True,12,0,53.675101546105,57.20777402166277,1648.8668760284781,1684.0917299268767,160.0,33.0
1024,1,64,True,3,0,13.683861936442554,19.223022973164916,239.38611207995564,256.1702770181,148,44
1024,2,64,True,6,0,24.605484039057046,25.198126095347106,544.8783215251751,552.159279002808,175.0,39.5
1024,4,64,True,12,0,54.73535700002685,78.30749696586281,1655.1263434812427,1678.9369459729642,160.0,34.5
