"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed","%","0.57","0.58","0.58"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed Pipe Adu","%","0.05","0.05","0.05"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed Pipe Cbu Pred On Any","%","0.01","0.01","0.01"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed Pipe Ipa","%","0.00","0.00","0.00"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed Pipe Lsu","%","0.74","0.76","0.75"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed Pipe Tex","%","0.00","0.00","0.00"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed Pipe Uniform","%","0.00","0.00","0.00"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Inst Executed Pipe Xu","%","0.25","0.26","0.26"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Instruction Throughput Internal Activity","%","0.00","0.00","0.00"
"2644508","python3.12","127.0.0.1","void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, bfloat16_t>>, 0, 0, 0, 0, 1, 0, 1, 0>(Flash_fwd_params)","(128, 1, 1)","(1, 2, 8)","0","8.9","8","GPU Speed Of Light Throughput","SM: Issue Active","%","0.58","0.60","0.59"
