NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:nanovllm.model_decode,PushPop,2648191,2648191,15,120,916163,7634.7,7614.0,7390,8542,159.0,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
:nanovllm.model_decode,PushPop,2648191,2648191,31,496,624100,1258.3,1248.0,1215,1280,16.0,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0
:nanovllm.model_decode,PushPop,2648191,2648191,46,368,424493,1153.5,1215.0,992,1248,90.0,triton_poi_fused_mul_silu_split_0
:nanovllm.model_decode,PushPop,2648191,2648191,46,368,398426,1082.7,1088.0,1055,1120,13.6,store_kvcache_kernel
:nanovllm.model_decode,PushPop,2648191,2648191,31,248,319179,1287.0,1280.0,1247,1312,14.4,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
:nanovllm.model_decode,PushPop,2648191,2648191,46,46,302741,6581.3,7438.5,4639,7774,1334.4,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
:nanovllm.model_decode,PushPop,2648191,2648191,46,46,100420,2183.0,2303.0,1887,2368,195.2,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
:nanovllm.model_prefill,PushPop,2648191,2648191,2,48,551125,11481.8,11565.5,5087,20763,5293.0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params)
:nanovllm.model_prefill,PushPop,2648191,2648191,1,8,95465,11933.1,11949.0,11805,12061,91.9,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8>(T1::Params)
:nanovllm.model_prefill,PushPop,2648191,2648191,2,40,64689,1617.2,1599.0,1407,1920,158.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
:nanovllm.model_prefill,PushPop,2648191,2648191,2,16,63090,3943.1,3903.0,3871,4159,87.0,"void flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(flash::Flash_fwd_params)"
:nanovllm.model_prefill,PushPop,2648191,2648191,2,34,54578,1605.2,1568.0,1376,1728,114.0,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0
:nanovllm.model_prefill,PushPop,2648191,2648191,2,32,54294,1696.7,1711.0,1535,1888,153.0,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0
:nanovllm.model_prefill,PushPop,2648191,2648191,2,32,51316,1603.6,1599.5,1535,1728,60.8,triton_poi_fused__to_copy_add_cat_index_mul_split_sub_0
:nanovllm.model_prefill,PushPop,2648191,2648191,1,8,32695,4086.9,4079.0,3807,4447,222.1,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Params)
:nanovllm.model_prefill,PushPop,2648191,2648191,2,16,27511,1719.4,1711.5,1375,2080,343.6,triton_poi_fused_mul_silu_split_0
:nanovllm.model_prefill,PushPop,2648191,2648191,2,2,26425,13212.5,13212.5,13181,13244,44.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
:nanovllm.model_prefill,PushPop,2648191,2648191,2,16,20892,1305.8,1312.0,1247,1440,48.5,store_kvcache_kernel
:nanovllm.model_prefill,PushPop,2648191,2648191,2,2,11357,5678.5,5678.5,3903,7454,2510.9,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
:nanovllm.model_prefill,PushPop,2648191,2648191,2,3,4223,1407.7,1279.0,1248,1696,250.2,"void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, long, long, bool)"
:nanovllm.model_prefill,PushPop,2648191,2648191,1,1,3040,3040.0,3040.0,3040,3040,0.0,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)2>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
:nanovllm.model_prefill,PushPop,2648191,2648191,2,2,2783,1391.5,1391.5,1343,1440,68.6,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
