-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                             aten::view         0.31%       1.309ms         0.31%       1.309ms       0.639us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2050
                                        aten::unsqueeze         0.30%       1.258ms         0.42%       1.765ms       3.502us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           504
                                         aten::_to_copy         0.26%       1.113ms         1.30%       5.482ms      12.209us       0.000us         0.00%     199.032us       0.443us       2.00 KB           0 B     196.00 KB           0 B           449
                                           aten::argmax         0.21%     873.341us         0.29%       1.231ms      19.228us     484.035us         1.66%     484.035us       7.563us           0 B           0 B      32.00 KB      32.00 KB            64
                                 cudaDeviceGetAttribute         0.21%     867.594us         0.21%     867.594us       0.237us     155.704us         0.53%     155.704us       0.043us           0 B           0 B           0 B           0 B          3656
                                       aten::empty_like         0.20%     848.856us         0.63%       2.631ms       5.138us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       5.95 MB           0 B           512
                                          aten::flatten         0.20%     828.333us         0.30%       1.276ms       2.491us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           512
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 420.223ms
Self CUDA time total: 29.167ms
