-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           aten::argmax         0.21%     873.341us         0.29%       1.231ms      19.228us     484.035us         1.66%     484.035us       7.563us           0 B           0 B      32.00 KB      32.00 KB            64
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     484.035us         1.66%     484.035us       7.563us           0 B           0 B           0 B           0 B            64
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     308.626us         1.06%     308.626us      12.859us           0 B           0 B           0 B           0 B            24
                                       cudaLaunchKernel         1.21%       5.084ms         1.21%       5.084ms       3.050us     210.248us         0.72%     210.248us       0.126us           0 B           0 B           0 B           0 B          1667
                                               aten::to         0.12%     522.178us         1.43%       6.004ms       7.208us       0.000us         0.00%     199.032us       0.239us       2.00 KB           0 B     196.00 KB           0 B           833
                                         aten::_to_copy         0.26%       1.113ms         1.30%       5.482ms      12.209us       0.000us         0.00%     199.032us       0.443us       2.00 KB           0 B     196.00 KB           0 B           449
                                            aten::copy_         0.32%       1.346ms         0.80%       3.379ms       7.525us     199.032us         0.68%     199.032us       0.443us           0 B           0 B           0 B           0 B           449
                                 cudaDeviceGetAttribute         0.21%     867.594us         0.21%     867.594us       0.237us     155.704us         0.53%     155.704us       0.043us           0 B           0 B           0 B           0 B          3656
                                        aten::embedding         0.03%     121.350us         0.35%       1.457ms      22.764us       0.000us         0.00%     147.995us       2.312us           0 B           0 B     762.00 KB           0 B            64
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 420.223ms
Self CUDA time total: 29.167ms
